timestamp, power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz], memory.used [MiB], utilization.gpu [%], pstate
2026/06/11 15:25:28.725, 17.60 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:25:29.742, 17.13 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:25:30.758, 17.50 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:25:31.770, 17.44 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:25:32.774, 17.41 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:25:33.789, 17.50 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:25:34.804, 17.67 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:25:35.807, 17.76 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:25:36.820, 17.81 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:25:37.821, 17.78 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:25:38.838, 17.48 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:25:39.852, 17.59 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:25:40.853, 17.72 W, 33, 187 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:25:41.869, 17.86 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:25:42.871, 17.94 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:25:43.886, 17.67 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:25:44.904, 17.62 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:25:45.920, 17.62 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:25:46.936, 17.63 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:25:47.952, 17.65 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:25:48.968, 17.55 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:25:49.979, 17.77 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:25:50.987, 17.84 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:25:51.998, 17.86 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:25:53.000, 17.41 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:25:54.001, 17.48 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:25:55.003, 17.33 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:25:56.004, 18.68 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
2026/06/11 15:25:57.018, 19.31 W, 33, 195 MHz, 405 MHz, 0 MiB, 0 %, P8
